medicine,nlem_section,care_levels,care_levels_expanded,formulations,source_name,source_url,source_pdf,retrieved_utc
Paracetamol,2.1.5,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Tablet 500 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Fentanyl,2.2.1,"[""S"", ""T""]","[""Secondary"", ""Tertiary""]","[""Injection 50 mcg/mL""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Tramadol,2.2.3,"[""S"", ""T""]","[""Secondary"", ""Tertiary""]","[""Capsule 50 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Allopurinol,2.3.1,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Tablet 100 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Colchicine,2.3.2,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Tablet 0.5 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Azathioprine,2.4.1,"[""S"", ""T""]","[""Secondary"", ""Tertiary""]","[""Tablet 25 mg (p)"", ""Tablet 50 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Hydroxychloroquine,2.4.2,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Tablet 200 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Methotrexate,2.4.3,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Tablet 2.5 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Sulfasalazine,2.4.4,"[""S"", ""T""]","[""Secondary"", ""Tertiary""]","[""Tablet 500 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Adrenaline,3.1,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Injection 1 mg/mL""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Cetirizine,3.2,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Tablet 10 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Pheniramine,3.5,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Injection 22.75 mg/mL""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Activated Charcoal,4.1.1,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Powder (as licensed)""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Calcium gluconate,4.2.2,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Injection 100 mg/mL""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
D- Penicillamine,4.2.3,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Capsule 150 mg (p)""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Desferrioxamine,4.2.4,"[""S"", ""T""]","[""Secondary"", ""Tertiary""]","[""Powder for injection 500 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
N-acetylcysteine,4.2.6,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Sachet 200 mg""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Naloxone,4.2.7,"[""P"", ""S"", ""T""]","[""Primary"", ""Secondary"", ""Tertiary""]","[""Injection 0.4 mg/mL""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
Sodium nitrite,4.2.11,"[""S"", ""T""]","[""Secondary"", ""Tertiary""]","[""Injection 30 mg/mL""]","National List of Essential Medicines 2022 (NLEM), via NPPA",https://nppa.gov.in/en/nlem2022,https://nppa.gov.in/storage/uploads/pdf/nlem-2022pdf-0cd1d2b28855bf30128875ab19fc5304.pdf,2026-08-04T14:32:40+00:00
